# Course FFC: abbeville
# Saison: cx-25-26
# Date: 2025-11-09
# Nombre total de résultats: 102
coureur,position,nb_participants,categorie,date_course
ANANIE UGO,1,11,Elite - Opens,2025-11-09
LOETE HIPPOLYTE,2,11,Elite - Opens,2025-11-09
BLANPAIN KÉVIN,3,11,Elite - Opens,2025-11-09
REGOST THIBAUT,4,11,Elite - Opens,2025-11-09
ROUSSEL ETIENNE,5,11,Elite - Opens,2025-11-09
GOURGUECHON BAPTISTE,6,11,Elite - Opens,2025-11-09
DOLLE GABRIEL,7,11,Elite - Opens,2025-11-09
LEPILLIET AYMERIC,8,11,Elite - Opens,2025-11-09
CARESMEL ALEXIS,9,11,Elite - Opens,2025-11-09
POUILLARD HUGO,10,11,Elite - Opens,2025-11-09
POUPART PIERRE,11,11,Elite - Opens,2025-11-09
QUIN ANTOINE,1,8,Access,2025-11-09
LE BESQ NICOLAS,2,8,Access,2025-11-09
KRAWCZYK BENJAMIN,3,8,Access,2025-11-09
COULOMBEL THOMAS,4,8,Access,2025-11-09
ATTAGNANT MATHYS,5,8,Access,2025-11-09
DEPOILLY CLÉMENT,6,8,Access,2025-11-09
DUBUISSON HAROLD,7,8,Access,2025-11-09
GUYART JULIEN,8,8,Access,2025-11-09
FIQUET CAMILLE,1,20,Master,2025-11-09
TAVERNIER CHRISTOPHE,2,20,Master,2025-11-09
LEBRUN XAVIER,3,20,Master,2025-11-09
POULAIN ADRIEN,4,20,Master,2025-11-09
HERISSET CHRISTOPHE,5,20,Master,2025-11-09
WOILLARD GRÉGORY,6,20,Master,2025-11-09
BOURGOIS GAUTHIER,7,20,Master,2025-11-09
CHALAS JEAN PIERRE,8,20,Master,2025-11-09
CAULIER NICOLAS,9,20,Master,2025-11-09
GOBAILLE FRANÇOIS,10,20,Master,2025-11-09
DAUREIL CHRISTOPHE,11,20,Master,2025-11-09
DEHONGHER MATTHIEU,12,20,Master,2025-11-09
CAMEL FABRICE,13,20,Master,2025-11-09
LIAL DENIS,14,20,Master,2025-11-09
DECLE VINCENT,15,20,Master,2025-11-09
BARTEHELEMY JÉRÔME,16,20,Master,2025-11-09
DUFEUILLE JEROME,17,20,Master,2025-11-09
DENNEMONT FABRICE,18,20,Master,2025-11-09
QUIN STÉPHANE,19,20,Master,2025-11-09
BRIDOUX RÉMI,20,20,Master,2025-11-09
RAEKELBOOM NOÉ,1,9,U19,2025-11-09
ROISSE CLÉMENT,2,9,U19,2025-11-09
RAMBLIERE GUILLAUME,3,9,U19,2025-11-09
SERANT THIBAUD,4,9,U19,2025-11-09
