# Course FFC: albi2
# Saison: cx-25-26
# Nombre total de résultats: 339
coureur,position,nb_participants,categorie,date_course
SPARFEL AUBIN,1,57,Classement Manche : Elite Homme,
MENUT DAVID,2,57,Classement Manche : Elite Homme,
NAVARRO QUENTIN,3,57,Classement Manche : Elite Homme,
LELANDAIS RÉMI,4,57,Classement Manche : Elite Homme,
VERRIER TRISTAN,5,57,Classement Manche : Elite Homme,
DUBAU LUCAS,6,57,Classement Manche : Elite Homme,
BOMMENEL NATHAN,7,57,Classement Manche : Elite Homme,
JOT MATÉO,8,57,Classement Manche : Elite Homme,
JOT HUGO,9,57,Classement Manche : Elite Homme,
GILLES CYPRIEN,10,57,Classement Manche : Elite Homme,
BETON DAMIEN,11,57,Classement Manche : Elite Homme,
GABRIEL TIMOTHÉ,12,57,Classement Manche : Elite Homme,
LEMARDELE MAXENCE,13,57,Classement Manche : Elite Homme,
MORICHON MATHIEU,14,57,Classement Manche : Elite Homme,
GAILLARD FLORIAN,15,57,Classement Manche : Elite Homme,
RECULEAU NICOLAS,16,57,Classement Manche : Elite Homme,
REMONDET VALENTIN,17,57,Classement Manche : Elite Homme,
JUTEL PAUL FRANÇOIS,18,57,Classement Manche : Elite Homme,
LEPOITTEVIN DUBOST JORIS,19,57,Classement Manche : Elite Homme,
PONCHON ELIOTE,20,57,Classement Manche : Elite Homme,
VASNIER DYLAN,21,57,Classement Manche : Elite Homme,
DREANO VICTOR,22,57,Classement Manche : Elite Homme,
DELPECH LUDOVIC,23,57,Classement Manche : Elite Homme,
LAUGER YVONNICK,24,57,Classement Manche : Elite Homme,
TRIGO FLORIAN,25,57,Classement Manche : Elite Homme,
MULON HUGO,26,57,Classement Manche : Elite Homme,
SAVIGNARD MAËL,27,57,Classement Manche : Elite Homme,
SPARFEL LOUIS,28,57,Classement Manche : Elite Homme,
GUERET THÉO,29,57,Classement Manche : Elite Homme,
RENARD LUDOVIC,30,57,Classement Manche : Elite Homme,
LAVIGNAC MATTHIEU,31,57,Classement Manche : Elite Homme,
GIRARDIN MAXIME,32,57,Classement Manche : Elite Homme,
FARNIER JULIEN,33,57,Classement Manche : Elite Homme,
SCHMITZ IVAN,34,57,Classement Manche : Elite Homme,
PATOUX CYRILLE,35,57,Classement Manche : Elite Homme,
DELPRAT STEVEN,36,57,Classement Manche : Elite Homme,
BABIN GREGOIRE,37,57,Classement Manche : Elite Homme,
HYON FRANÇOIS,38,57,Classement Manche : Elite Homme,
VASSAL THIBAUT,39,57,Classement Manche : Elite Homme,
LOISEAU PAUL,40,57,Classement Manche : Elite Homme,
OLLIVIER GURVAN,41,57,Classement Manche : Elite Homme,
TABURET MATHIEU,42,57,Classement Manche : Elite Homme,
PELLIER PIERRE MATHIEU,43,57,Classement Manche : Elite Homme,
COSTE NICOLAS,44,57,Classement Manche : Elite Homme,
LACHAIZE ANTOINE,45,57,Classement Manche : Elite Homme,
LIMOGES VINCENT,46,57,Classement Manche : Elite Homme,
GOURGOUILHON MAXIME,47,57,Classement Manche : Elite Homme,
COSNIER VALENTIN,48,57,Classement Manche : Elite Homme,
ROUSSILLOU HUGO,49,57,Classement Manche : Elite Homme,
BARRIER NICOLAS,50,57,Classement Manche : Elite Homme,
MORGANTI LOUCA,51,57,Classement Manche : Elite Homme,
PICARD ANTHONY,52,57,Classement Manche : Elite Homme,
PLAUCHE ROMARIC,53,57,Classement Manche : Elite Homme,
BONNIN FLORIAN,54,57,Classement Manche : Elite Homme,
BERNIER EMILIEN,55,57,Classement Manche : Elite Homme,
ROCQUET DAVID,56,57,Classement Manche : Elite Homme,
ROGIER VINCENT,57,57,Classement Manche : Elite Homme,
GERY CÉLIA,1,42,Classement Manche : Elite et U23 Femme,
MULLER AMANDINE,2,42,Classement Manche : Elite et U23 Femme,
VIDON AMANDINE,3,42,Classement Manche : Elite et U23 Femme,
KLAES LISE,4,42,Classement Manche : Elite et U23 Femme,
MOULIN ANAÏS,5,42,Classement Manche : Elite et U23 Femme,
MORICHON ANAÏS,6,42,Classement Manche : Elite et U23 Femme,
DEVIGNE CAMILLE,7,42,Classement Manche : Elite et U23 Femme,
VALADE ALEXANDRA,8,42,Classement Manche : Elite et U23 Femme,
RIGAUX ALIZEE,9,42,Classement Manche : Elite et U23 Femme,
JOUAULT AMBRE,10,42,Classement Manche : Elite et U23 Femme,
AVELINE ENORA,11,42,Classement Manche : Elite et U23 Femme,
SOUYRIS MANON,12,42,Classement Manche : Elite et U23 Femme,
LAVENU NINA,13,42,Classement Manche : Elite et U23 Femme,
MOISSONNIER MARIE,14,42,Classement Manche : Elite et U23 Femme,
BONNIN NOEMIE,15,42,Classement Manche : Elite et U23 Femme,
LISABOIS LOLA,16,42,Classement Manche : Elite et U23 Femme,
ROGER HUGOLINE,17,42,Classement Manche : Elite et U23 Femme,
LE BRAS JUSTINE,18,42,Classement Manche : Elite et U23 Femme,
WEINGARTEN AUDREY,19,42,Classement Manche : Elite et U23 Femme,
LALANNE JOHANNA,20,42,Classement Manche : Elite et U23 Femme,
CORABOEUF LEA,21,42,Classement Manche : Elite et U23 Femme,
YANNIC TIFENN,22,42,Classement Manche : Elite et U23 Femme,
VERDIER JULIETTE,23,42,Classement Manche : Elite et U23 Femme,
CHESNEAU ROMANE,24,42,Classement Manche : Elite et U23 Femme,
VERNEZOUL YLÉA,25,42,Classement Manche : Elite et U23 Femme,
DAUMAS NOEMIE,26,42,Classement Manche : Elite et U23 Femme,
DE MIGUEL ETXEBARRIA NAHIA,27,42,Classement Manche : Elite et U23 Femme,
MORICEAU CLARISSE,28,42,Classement Manche : Elite et U23 Femme,
REYNIER ROMANE,29,42,Classement Manche : Elite et U23 Femme,
CORRET SÉVERINE,30,42,Classement Manche : Elite et U23 Femme,
LIBOREAU MANON,31,42,Classement Manche : Elite et U23 Femme,
GAFFE CASSANDRA,32,42,Classement Manche : Elite et U23 Femme,
BRAMOULLE PAULINE,33,42,Classement Manche : Elite et U23 Femme,
FROUARD DIANE,34,42,Classement Manche : Elite et U23 Femme,
ROBERT MARGOT,35,42,Classement Manche : Elite et U23 Femme,
LECOQ ALIZEA,36,42,Classement Manche : Elite et U23 Femme,
BARBEREAU JULIETTE,37,42,Classement Manche : Elite et U23 Femme,
BRAMOULLE MANON,38,42,Classement Manche : Elite et U23 Femme,
FAVREAU PAULINE,39,42,Classement Manche : Elite et U23 Femme,
ALMANSA CARLA,40,42,Classement Manche : Elite et U23 Femme,
BONNELLIER CARON ELSA,41,42,Classement Manche : Elite et U23 Femme,
MENANT YULIZH,42,42,Classement Manche : Elite et U23 Femme,
DAVID ALEXIS,1,80,Classement Manche : U23 Homme,
DEBORD ROMAIN,2,80,Classement Manche : U23 Homme,
LEQUET CORENTIN,3,80,Classement Manche : U23 Homme,
SIMON JULES,4,80,Classement Manche : U23 Homme,
DOS REIS GRACA NATHAN,5,80,Classement Manche : U23 Homme,
COURCIER THOMAS,6,80,Classement Manche : U23 Homme,
VILLAR THIERY AUBIN,7,80,Classement Manche : U23 Homme,
VIVOT ALEXIS,8,80,Classement Manche : U23 Homme,
ROMAIN EMILIEN,9,80,Classement Manche : U23 Homme,
FERY FLORIAN,10,80,Classement Manche : U23 Homme,
GUILLAUME GAËL,11,80,Classement Manche : U23 Homme,
BLANC JOHAN,12,80,Classement Manche : U23 Homme,
DU MOUZA QUENTIN,13,80,Classement Manche : U23 Homme,
TANGUY LOUIS,14,80,Classement Manche : U23 Homme,
BARIOT LOHAN,15,80,Classement Manche : U23 Homme,
JULLIAN EVAN,16,80,Classement Manche : U23 Homme,
MENISSIER CLÉMENT,17,80,Classement Manche : U23 Homme,
MASSET KERRIAN,18,80,Classement Manche : U23 Homme,
GUERILLON ENZO,19,80,Classement Manche : U23 Homme,
LEFEVRE CLÉMENT,20,80,Classement Manche : U23 Homme,
CACAULT MATTEÏ,21,80,Classement Manche : U23 Homme,
DUPUY JOAN,22,80,Classement Manche : U23 Homme,
DUBOSQ GABIN,23,80,Classement Manche : U23 Homme,
LOETE HIPPOLYTE,24,80,Classement Manche : U23 Homme,
FAUVEL RONAN,25,80,Classement Manche : U23 Homme,
DEHAEMERS ALOÏS,26,80,Classement Manche : U23 Homme,
SAUZET JULES,27,80,Classement Manche : U23 Homme,
PAPIN NATHAN,28,80,Classement Manche : U23 Homme,
CARRERE BAPTISTE,29,80,Classement Manche : U23 Homme,
DOUGNY LUCAS,30,80,Classement Manche : U23 Homme,
GOURGIN ESTEBAN,31,80,Classement Manche : U23 Homme,
THATCHER EDOUARD,32,80,Classement Manche : U23 Homme,
REGNAULT THIBAULT,33,80,Classement Manche : U23 Homme,
LE GOFF HUGO,34,80,Classement Manche : U23 Homme,
CORMERAIS MAXIME,35,80,Classement Manche : U23 Homme,
MARTINEZ LORIS,36,80,Classement Manche : U23 Homme,
LEVILLAIN MARTIN,37,80,Classement Manche : U23 Homme,
POULY QUENTIN,38,80,Classement Manche : U23 Homme,
MILLAT WILLIAM,39,80,Classement Manche : U23 Homme,
MICHELET NATHAN,40,80,Classement Manche : U23 Homme,
NICOLET FLAVIEN,41,80,Classement Manche : U23 Homme,
VINSON AURÉLIEN,42,80,Classement Manche : U23 Homme,
CRON ELI,43,80,Classement Manche : U23 Homme,
HUBY THOMAS,44,80,Classement Manche : U23 Homme,
MARTIN NAHEL,45,80,Classement Manche : U23 Homme,
TROUILLARD ARMAND,46,80,Classement Manche : U23 Homme,
GAUTHIER GABIN,47,80,Classement Manche : U23 Homme,
BOISSONNOT LUCAS,48,80,Classement Manche : U23 Homme,
HERPIN SOHAN,49,80,Classement Manche : U23 Homme,
CHARRIER KYLIAN,50,80,Classement Manche : U23 Homme,
GUILMET RAPHAEL,51,80,Classement Manche : U23 Homme,
CHAMPION CORENTIN,52,80,Classement Manche : U23 Homme,
GUILLET YANIS,53,80,Classement Manche : U23 Homme,
BAGUET ELIOT,54,80,Classement Manche : U23 Homme,
RENAUD ALEXIS,55,80,Classement Manche : U23 Homme,
BOURDEJEAU BASTIEN,56,80,Classement Manche : U23 Homme,
JUNIUS MATHIEU,57,80,Classement Manche : U23 Homme,
CHAUDERLOT PHULPIN TOM,58,80,Classement Manche : U23 Homme,
DESILLES ALIX,59,80,Classement Manche : U23 Homme,
BOUCHEREZ ROMAIN,60,80,Classement Manche : U23 Homme,
PEDERIVA PAUL,61,80,Classement Manche : U23 Homme,
COGNE RONAN,62,80,Classement Manche : U23 Homme,
LADAME ALEXIS,63,80,Classement Manche : U23 Homme,
CERFEUILLET L.,64,80,Classement Manche : U23 Homme,
FOUQUET AUDRIC,65,80,Classement Manche : U23 Homme,
DELPRAT LÉO,66,80,Classement Manche : U23 Homme,
DOLLE GABRIEL,67,80,Classement Manche : U23 Homme,
DIEUDONNE TOM,68,80,Classement Manche : U23 Homme,
CHARLES LILIAN,69,80,Classement Manche : U23 Homme,
AMET BASILE,70,80,Classement Manche : U23 Homme,
FRICHET GABIN,71,80,Classement Manche : U23 Homme,
DELTRIEU GAUTHIER,72,80,Classement Manche : U23 Homme,
BLANQUIER BRYAN,73,80,Classement Manche : U23 Homme,
FESTINO KYLIAN,74,80,Classement Manche : U23 Homme,
VERHAEGHE ANTOINE,75,80,Classement Manche : U23 Homme,
BARRAL ADRIEN,76,80,Classement Manche : U23 Homme,
ADER AMAËL,77,80,Classement Manche : U23 Homme,
DUHAUT NATHAN,78,80,Classement Manche : U23 Homme,
HECQUET ENZO,79,80,Classement Manche : U23 Homme,
CAYRE THÉO,80,80,Classement Manche : U23 Homme,
BRUYERE JOUMARD SOREN,1,132,Classement Manche : U19 Homme,
DEVOS VICTOR,2,132,Classement Manche : U19 Homme,
CHAINEL CALISTE,3,132,Classement Manche : U19 Homme,
LE BOURHIS PIERRE,4,132,Classement Manche : U19 Homme,
RAFFO JOSEPH,5,132,Classement Manche : U19 Homme,
LE PANN SOEN,6,132,Classement Manche : U19 Homme,
BULTEAU LUCAS,7,132,Classement Manche : U19 Homme,
CLEMENTE ANTOINE,8,132,Classement Manche : U19 Homme,
CHEMILLÉ NATHAN,9,132,Classement Manche : U19 Homme,
MORINIERE LILIAN,10,132,Classement Manche : U19 Homme,
SUIRE MALO,11,132,Classement Manche : U19 Homme,
VERRIER LEO,12,132,Classement Manche : U19 Homme,
BABIN GABRIEL,13,132,Classement Manche : U19 Homme,
BAUDOUIN FLORIAN,14,132,Classement Manche : U19 Homme,
TARDIEU CLÉMENT,15,132,Classement Manche : U19 Homme,
BRUTIN ALBAN,16,132,Classement Manche : U19 Homme,
INGELAERE ANTOINE,17,132,Classement Manche : U19 Homme,
GOUX PAUL,18,132,Classement Manche : U19 Homme,
MARTINEAU AXEL,19,132,Classement Manche : U19 Homme,
VANAELST BATISTE,20,132,Classement Manche : U19 Homme,
FAHY AUGUSTIN,21,132,Classement Manche : U19 Homme,
RAEKELBOOM NOÉ,22,132,Classement Manche : U19 Homme,
GENTER GABRIEL,23,132,Classement Manche : U19 Homme,
GOBILLOT AXEL,24,132,Classement Manche : U19 Homme,
LOUISON TIMÉO,25,132,Classement Manche : U19 Homme,
ZAMPARUTTI NATHAN,26,132,Classement Manche : U19 Homme,
BILLET SIMON,27,132,Classement Manche : U19 Homme,
DESTOUCHES TOM,28,132,Classement Manche : U19 Homme,
BOULLE LORIS,29,132,Classement Manche : U19 Homme,
COLOTTE NYS ANTOINE,30,132,Classement Manche : U19 Homme,
BOUYSSOU CLÉMENT,31,132,Classement Manche : U19 Homme,
BOVO BIANTO KYLIAN,32,132,Classement Manche : U19 Homme,
BELLIER ADAM,33,132,Classement Manche : U19 Homme,
COUGOULAT LE STUNFF NOÉ,34,132,Classement Manche : U19 Homme,
DUGAY CHARLIE,35,132,Classement Manche : U19 Homme,
THOUREAU LUCAS,36,132,Classement Manche : U19 Homme,
NOEL M.,37,132,Classement Manche : U19 Homme,
MONCASSIN MATEO,38,132,Classement Manche : U19 Homme,
ANTOINE LOUIS,39,132,Classement Manche : U19 Homme,
LE PALLEC MATHIS,40,132,Classement Manche : U19 Homme,
DAVID QUENTIN,41,132,Classement Manche : U19 Homme,
DEBENNE MATIS,42,132,Classement Manche : U19 Homme,
DURAND LOUIS,43,132,Classement Manche : U19 Homme,
COURRIERE SAMY,44,132,Classement Manche : U19 Homme,
FERRON TIMOTE,45,132,Classement Manche : U19 Homme,
DANIEL EMERIC,46,132,Classement Manche : U19 Homme,
LEBRETON MATTIS,47,132,Classement Manche : U19 Homme,
