# Course FFC: arenberg
# Saison: cx-25-26
# Date: 2025-11-11
# Nombre total de résultats: 157
coureur,position,nb_participants,categorie,date_course
PLUVINAGE AUGUSTIN,1,1,U7,2025-11-11
MOUTON PAUL,1,4,U9,2025-11-11
FRANCLIN ELIOTT,2,4,U9,2025-11-11
PHILIPPE HIPPOLYTE,3,4,U9,2025-11-11
BOUSSEMAER ADAM,4,4,U9,2025-11-11
DETAVERNIER GAUTHIER,1,10,U11,2025-11-11
YON THIEBEAUX TIMÉO,2,10,U11,2025-11-11
PHILIPPE AUGUSTIN,3,10,U11,2025-11-11
MANTEAU CALLEMEYN SWAN,4,10,U11,2025-11-11
GLAUERT KRICK JAKOB,5,10,U11,2025-11-11
D'ENGREMONT RAFAËL,6,10,U11,2025-11-11
PERIS LUCAS,7,10,U11,2025-11-11
MAES NILS,8,10,U11,2025-11-11
VANDER POORTEN EZRA,9,10,U11,2025-11-11
DA CUNHA RAMOS NINO,10,10,U11,2025-11-11
PASTOT ANGELO,1,17,U13,2025-11-11
DEFRANCQ ETHANN,2,17,U13,2025-11-11
ADRIANSEN BASILE,3,17,U13,2025-11-11
ROSITANO NATHAN,4,17,U13,2025-11-11
HARBONNIER LEONIE,5,17,U13,2025-11-11
VANDER GUCHT TEEJAY,6,17,U13,2025-11-11
COEUGNET ARTHUR,7,17,U13,2025-11-11
BAUW LUCAS,8,17,U13,2025-11-11
DION LOUIS,9,17,U13,2025-11-11
VILLEDARY JACQUES,10,17,U13,2025-11-11
DELBECQUE RAPHAËL,11,17,U13,2025-11-11
NIEPCERON ALIX,12,17,U13,2025-11-11
MARTIN HUGO,13,17,U13,2025-11-11
BARRE VICTOR,14,17,U13,2025-11-11
STIÉVENARD HADRIEN,15,17,U13,2025-11-11
PANGNATHIP ALBAN,16,17,U13,2025-11-11
DEDEURWAERDER ADAM,17,17,U13,2025-11-11
PECRIAUX THOMAS,1,25,Classement général individuel (épreuve de 1 jour),2025-11-11
FERNANDEZ LÉO,2,25,Classement général individuel (épreuve de 1 jour),2025-11-11
BONNIER MATHIS,3,25,Classement général individuel (épreuve de 1 jour),2025-11-11
DECROMBECQUE TOM,4,25,Classement général individuel (épreuve de 1 jour),2025-11-11
DE RIEMAECKER TOM,5,25,Classement général individuel (épreuve de 1 jour),2025-11-11
HOUSET ALEXANDRE,6,25,Classement général individuel (épreuve de 1 jour),2025-11-11
LEU ADRIEN,7,25,Classement général individuel (épreuve de 1 jour),2025-11-11
DEFRANCQ ROBIN,8,25,Classement général individuel (épreuve de 1 jour),2025-11-11
DEVOS LOUIS,9,25,Classement général individuel (épreuve de 1 jour),2025-11-11
BODDAERT GERMAIN,11,25,Classement général individuel (épreuve de 1 jour),2025-11-11
DUTERTRE QUENTIN,12,25,Classement général individuel (épreuve de 1 jour),2025-11-11
ROGER LOUIS,13,25,Classement général individuel (épreuve de 1 jour),2025-11-11
NOLLET PABLO,14,25,Classement général individuel (épreuve de 1 jour),2025-11-11
GRZESKIEWICZ ELIE,15,25,Classement général individuel (épreuve de 1 jour),2025-11-11
TETU PAULINE,16,25,Classement général individuel (épreuve de 1 jour),2025-11-11
GRUMIAUX RÉMI,17,25,Classement général individuel (épreuve de 1 jour),2025-11-11
DELMOTTE TIMOTHÉE,18,25,Classement général individuel (épreuve de 1 jour),2025-11-11
VITIGE MATHIAS,19,25,Classement général individuel (épreuve de 1 jour),2025-11-11
DEKERLE BENJAMIN,20,25,Classement général individuel (épreuve de 1 jour),2025-11-11
PLUQUET LILIAN,21,25,Classement général individuel (épreuve de 1 jour),2025-11-11
LONZA GASPARD,22,25,Classement général individuel (épreuve de 1 jour),2025-11-11
HOFFMANN RAPHAËL,23,25,Classement général individuel (épreuve de 1 jour),2025-11-11
PERSON LOUIS,24,25,Classement général individuel (épreuve de 1 jour),2025-11-11
DENEL CLÉMENT,25,25,Classement général individuel (épreuve de 1 jour),2025-11-11
RICHARD ELIOTT,26,25,Classement général individuel (épreuve de 1 jour),2025-11-11
