# Course FFC: bruay
# Saison: cx-25-26
# Date: 2025-11-01
# Nombre total de résultats: 97
coureur,position,nb_participants,categorie,date_course
TRIGO FLORIAN,1,12,Open,2025-11-01
DOLLE GABRIEL,2,12,Open,2025-11-01
BLANPAIN KÉVIN,3,12,Open,2025-11-01
LOVINY JAN,4,12,Open,2025-11-01
ROUSSEL ETIENNE,5,12,Open,2025-11-01
POUILLARD RAPHAËL,6,12,Open,2025-11-01
LEMONNIER FRANÇOIS,7,12,Open,2025-11-01
POUPART PIERRE,8,12,Open,2025-11-01
POUILLARD LUCAS,9,12,Open,2025-11-01
TORZEWSKI CORENTIN,10,12,Open,2025-11-01
DEHEYN AXEL,11,12,Open,2025-11-01
LEPILLIET AYMERIC,12,12,Open,2025-11-01
KRAWCZYK BENJAMIN,1,7,Access,2025-11-01
BONTE ROMAIN,2,7,Access,2025-11-01
ATTAGNANT MATHYS,3,7,Access,2025-11-01
EVRARD CLÉMENT,4,7,Access,2025-11-01
MAËS LOUIS,5,7,Access,2025-11-01
BOUSSEMAER SIMON,6,7,Access,2025-11-01
LECOMPERE GABRIEL,7,7,Access,2025-11-01
BODDAERT GASPARD,1,4,u19,2025-11-01
DEFRANCQ MAEL,2,4,u19,2025-11-01
CHALAS LANDAS CYRIAQUE,3,4,u19,2025-11-01
COUVREUR ALEXIS,4,4,u19,2025-11-01
DOLLE ELISA,1,2,DAMES,2025-11-01
WITTEK DASSONVILLE CÉLINE,2,2,DAMES,2025-11-01
MOLMY AXEL,1,18,U15,2025-11-01
DELY MAËL,2,18,U15,2025-11-01
CANIPEL CHARLES,3,18,U15,2025-11-01
VIEQUE TOM,4,18,U15,2025-11-01
GADRET FANTINE,5,18,U15,2025-11-01
VANDENKOORNHUYSE CYPRIEN,6,18,U15,2025-11-01
DUTILLY ETHAN,7,18,U15,2025-11-01
COMETTI LOUIS,8,18,U15,2025-11-01
BECQUET THÉO,9,18,U15,2025-11-01
VANACKER MARIUS,10,18,U15,2025-11-01
DASSONVILLE LÉONTINE,11,18,U15,2025-11-01
MANTEAU CALLEMEYN MAËLINE,12,18,U15,2025-11-01
MORIEUX BAPTISTE,13,18,U15,2025-11-01
HOBART DROLET ANTONIN,14,18,U15,2025-11-01
PLUVINAGE ANTONIN,15,18,U15,2025-11-01
SERGEANT OWEN,16,18,U15,2025-11-01
POTTIEZ ARTHUR,17,18,U15,2025-11-01
DEHENNE SOHAN,18,18,U15,2025-11-01
FERNANDEZ LÉO,1,11,U17,2025-11-01
HOUSET ALEXANDRE,2,11,U17,2025-11-01
LEU ADRIEN,3,11,U17,2025-11-01
DEFRANCQ ROBIN,4,11,U17,2025-11-01
PECOURT NOÉ,5,11,U17,2025-11-01
ROGER LOUIS,6,11,U17,2025-11-01
BODDAERT GERMAIN,7,11,U17,2025-11-01
SIJNESAEL RUBEN,8,11,U17,2025-11-01
BICHET JUSTIN,9,11,U17,2025-11-01
VITIGE MATHIAS,10,11,U17,2025-11-01
SANTER MAHÉ,11,11,U17,2025-11-01
LEFRANCQ LUDOVIC,1,9,Classement général individuel (épreuve de 1 jour),2025-11-01
HERFEUIL ANTHONY,2,9,Classement général individuel (épreuve de 1 jour),2025-11-01
BAJOREK MICHEL,3,9,Classement général individuel (épreuve de 1 jour),2025-11-01
DASSONVILLE SÉBASTIEN,4,9,Classement général individuel (épreuve de 1 jour),2025-11-01
GOBAILLE FRANÇOIS,5,9,Classement général individuel (épreuve de 1 jour),2025-11-01
CARRIÈRE FLORENT,6,9,Classement général individuel (épreuve de 1 jour),2025-11-01
CHALAS JEAN PIERRE,7,9,Classement général individuel (épreuve de 1 jour),2025-11-01
VANDERMEIREN MANUEL,8,9,Classement général individuel (épreuve de 1 jour),2025-11-01
BAUW EDOUARD,9,9,Classement général individuel (épreuve de 1 jour),2025-11-01
PLUVINAGE AUGUSTIN,1,2,U7,2025-11-01
DUPONT JULES,2,2,U7,2025-11-01
VIGNION MARCEL,1,6,U9,2025-11-01
SAINT MAXENT RAPHAËL,2,6,U9,2025-11-01
MIQUET GASPARD,3,6,U9,2025-11-01
PHILIPPE HIPPOLYTE,4,6,U9,2025-11-01
BOUSSEMAER ADAM,5,6,U9,2025-11-01
HANTUTE AXEL,6,6,U9,2025-11-01
NOYELLE HUGO,1,9,U11,2025-11-01
MARIETTE ÉDOUARD,2,9,U11,2025-11-01
LAUERIERE HUGO,3,9,U11,2025-11-01
BOCQUET TIMEO,4,9,U11,2025-11-01
MANTEAU CALLEMEYN SWAN,5,9,U11,2025-11-01
PHILIPPE AUGUSTIN,6,9,U11,2025-11-01
DEMARETZ HUGO,7,9,U11,2025-11-01
RAOULT ELENA,8,9,U11,2025-11-01
LOUIS VINCENT,9,9,U11,2025-11-01
PASTOT ANGELO,1,17,U13,2025-11-01
DEFRANCQ ETHANN,2,17,U13,2025-11-01
VANDAMME ROBIN,3,17,U13,2025-11-01
ADRIANSEN BASILE,4,17,U13,2025-11-01
DELTOMBE LUCIEN,5,17,U13,2025-11-01
CODDEVILLE CHARLY,6,17,U13,2025-11-01
HARBONNIER LEONIE,7,17,U13,2025-11-01
COEUGNET ARTHUR,8,17,U13,2025-11-01
TETART LUCIEN,9,17,U13,2025-11-01
JOURDAIN MARTIN,10,17,U13,2025-11-01
JOSIEN ADAM,11,17,U13,2025-11-01
BAUW LUCAS,12,17,U13,2025-11-01
COCHEZ BAPTISTE,13,17,U13,2025-11-01
THIBAUT LUCIEN,14,17,U13,2025-11-01
COUVREUR ROMAIN,15,17,U13,2025-11-01
BERLAIRE ENOHA,16,17,U13,2025-11-01
SIJNESAEL PABLO,17,17,U13,2025-11-01
