# Course FFC: lievin
# Saison: cx-25-26
# Date: 2025-12-28
# Nombre total de résultats: 122
coureur,position,nb_participants,categorie,date_course
LEFRANCQ LUDOVIC,1,12,Classement général individuel (épreuve de 1 jour),2025-12-28
HERFEUIL ANTHONY,2,12,Classement général individuel (épreuve de 1 jour),2025-12-28
HIMMESOETE NICOLAS,3,12,Classement général individuel (épreuve de 1 jour),2025-12-28
LEBRUN XAVIER,4,12,Classement général individuel (épreuve de 1 jour),2025-12-28
CHALAS JEAN PIERRE,5,12,Classement général individuel (épreuve de 1 jour),2025-12-28
VANDERMEIREN MANUEL,6,12,Classement général individuel (épreuve de 1 jour),2025-12-28
CARRIÈRE FLORENT,7,12,Classement général individuel (épreuve de 1 jour),2025-12-28
GOBAILLE FRANÇOIS,8,12,Classement général individuel (épreuve de 1 jour),2025-12-28
CAVEL MICKAËL,9,12,Classement général individuel (épreuve de 1 jour),2025-12-28
BAUW EDOUARD,10,12,Classement général individuel (épreuve de 1 jour),2025-12-28
SUCKY JEAN LOUIS,11,12,Classement général individuel (épreuve de 1 jour),2025-12-28
DUTILLY GUILLAUME,12,12,Classement général individuel (épreuve de 1 jour),2025-12-28
MASSET ALLAN,1,10,Open,2025-12-28
COLLIER ELOI,2,10,Open,2025-12-28
ROUSSEL ETIENNE,3,10,Open,2025-12-28
POUILLARD RAPHAËL,4,10,Open,2025-12-28
REGOST THIBAUT,5,10,Open,2025-12-28
LOVINY JAN,6,10,Open,2025-12-28
POUILLARD HUGO,7,10,Open,2025-12-28
DEVIENNE QUENTIN,8,10,Open,2025-12-28
DELPLANQUE DYLAN,9,10,Open,2025-12-28
DEHONGHER MATTHIEU,10,10,Open,2025-12-28
MAËS LOUIS,1,5,Access,2025-12-28
KRAWCZYK BENJAMIN,2,5,Access,2025-12-28
BOUSSEMAER SIMON,3,5,Access,2025-12-28
LECOMPERE GABRIEL,4,5,Access,2025-12-28
DHIEUX RAPHAËL,5,5,Access,2025-12-28
WITTEK DASSONVILLE CÉLINE,1,2,DAMES,2025-12-28
TETU MÉLANIE,2,2,DAMES,2025-12-28
RAEKELBOOM NOÉ,1,8,Juniors,2025-12-28
REGOST LOUIS,2,8,Juniors,2025-12-28
DEFRANCQ MAEL,3,8,Juniors,2025-12-28
DELBECQUE LUCIEN,4,8,Juniors,2025-12-28
BRIDOUX AURÉLIEN,5,8,Juniors,2025-12-28
DOLLE ELISA,6,8,Juniors,2025-12-28
COUVREUR ALEXIS,7,8,Juniors,2025-12-28
CHALAS LANDAS CYRIAQUE,8,8,Juniors,2025-12-28
CONTRAIN ETHAN,1,3,U7,2025-12-28
PLUVINAGE AUGUSTIN,2,3,U7,2025-12-28
DUPONT JULES,3,3,U7,2025-12-28
MOUTON PAUL,1,9,U9,2025-12-28
VIGNION MARCEL,2,9,U9,2025-12-28
SAINT MAXENT RAPHAËL,3,9,U9,2025-12-28
MASSON LUCA,4,9,U9,2025-12-28
PHILIPPE HIPPOLYTE,5,9,U9,2025-12-28
BASSANELLI RAFFAËL,6,9,U9,2025-12-28
MIQUET GASPARD,7,9,U9,2025-12-28
HANTUTE AXEL,8,9,U9,2025-12-28
BOUSSEMAER ADAM,9,9,U9,2025-12-28
NOYELLE HUGO,1,13,U11,2025-12-28
MARIETTE ÉDOUARD,2,13,U11,2025-12-28
CAVEL ARSENE,3,13,U11,2025-12-28
MAQUIGNON THIBAULT,4,13,U11,2025-12-28
