# Course FFC: ouistreham
# Saison: cx-25-26
# Nombre total de résultats: 512
coureur,position,nb_participants,categorie,date_course
KUYPERS GERBEN,1,56,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES,
SPARFEL AUBIN,2,56,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES,
VERRIER TRISTAN,3,56,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES,
BETON DAMIEN,4,56,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES,
JOT MATÉO,5,56,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES,
MORICHON MATHIEU,6,56,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES,
GABRIEL TIMOTHÉ,7,56,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES,
DE VET SANDER,8,56,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES,
ANANIE UGO,9,56,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES,
JOT HUGO,10,56,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES,
DUBAU LUCAS,11,56,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES,
GILLES CYPRIEN,12,56,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES,
GAILLARD FLORIAN,13,56,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES,
SPARFEL LOUIS,14,56,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES,
JUTEL PAUL FRANÇOIS,15,56,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES,
LEMARDELE MAXENCE,16,56,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES,
TRIGO FLORIAN,17,56,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES,
MAINGUENAUD TOM,18,56,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES,
NAVARRO QUENTIN,19,56,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES,
RECULEAU NICOLAS,20,56,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES,
LAVIGNAC MATTHIEU,21,56,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES,
MULON HUGO,22,56,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES,
REMONDET VALENTIN,23,56,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES,
LAUGER YVONNICK,24,56,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES,
TABURET MATHIEU,25,56,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES,
LEPOITTEVIN DUBOST JORIS,26,56,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES,
VASNIER DYLAN,27,56,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES,
GIRARDIN MAXIME,28,56,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES,
CHAINEL STEVE,29,56,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES,
GUERET THÉO,30,56,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES,
SIMONIN ANTOINE,31,56,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES,
JELSPERGER MATHIEU,32,56,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES,
SALOMEZ YDRIS,33,56,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES,
BABIN GREGOIRE,34,56,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES,
BONENFANT NICOLAS,35,56,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES,
PLAUCHE ROMARIC,36,56,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES,
UZON AURÉLIEN,37,56,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES,
DREANO VICTOR,38,56,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES,
ROSSION TOM,39,56,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES,
DELPRAT STEVEN,40,56,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES,
GUILLET DAVID,41,56,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES,
OLLIVIER GURVAN,42,56,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES,
CORBES SIMON,43,56,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES,
MEDARD JEAN JACQUES,44,56,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES,
PIERRE ALEXIS,45,56,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES,
CHALMERS SCOTT,46,56,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES,
BRAMOULLE BENJAMIN,47,56,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES,
LE FUR DYLAN,48,56,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES,
