# Course FFC: quelneuc
# Saison: cx-25-26
# Nombre total de résultats: 330
coureur,position,nb_participants,categorie
SPARFEL AUBIN,1,50,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
BETON DAMIEN,2,50,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
JOT MATÉO,3,50,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
VERRIER TRISTAN,4,50,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
REMONDET VALENTIN,5,50,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
GABRIEL TIMOTHÉ,6,50,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
NAVARRO QUENTIN,7,50,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
MORICHON MATHIEU,8,50,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
JOT HUGO,9,50,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
LELANDAIS RÉMI,10,50,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
DUBAU LUCAS,11,50,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
GAILLARD FLORIAN,12,50,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
JUTEL PAUL FRANÇOIS,13,50,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
RECULEAU NICOLAS,14,50,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
ANANIE UGO,15,50,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
SPARFEL LOUIS,16,50,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
GILLES CYPRIEN,17,50,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
MULON HUGO,18,50,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
LEMARDELE MAXENCE,19,50,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
LAUGER YVONNICK,20,50,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
LAVIGNAC MATTHIEU,21,50,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
GUERET THÉO,22,50,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
DELPRAT STEVEN,23,50,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
LACHAIZE ANTOINE,24,50,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
VASNIER DYLAN,25,50,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
JEANNESSON ARNOLD,26,50,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
OTTIGER AXEL,27,50,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
BONENFANT NICOLAS,28,50,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
GOURGOUILHON MAXIME,29,50,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
PLAUCHE ROMARIC,30,50,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
JELSPERGER MATHIEU,31,50,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
BABIN GREGOIRE,32,50,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
TABURET MATHIEU,33,50,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
HYON FRANÇOIS,34,50,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
DREANO VICTOR,35,50,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
MORGANTI LOUCA,36,50,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
SERIEYS BERTRAND,37,50,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
FARNIER JULIEN,38,50,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
LOISEAU PAUL,39,50,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
OLLIVIER GURVAN,40,50,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
CADEAU FLORENTIN,41,50,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
POIRIER ANTONIN,42,50,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
AUSTIN ELIOTT,43,50,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
BERNIER EMILIEN,44,50,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
LE FUR DYLAN,45,50,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
QUEFFURUS PIERRICK,46,50,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
RABAS NATHAN,47,50,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
BONNIN FLORIAN,48,50,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
KAKIZAKI EUGÈNE,49,50,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
CORDIER VICTORIEN,50,50,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
MULLER AMANDINE,1,40,ELITE ET U23 FEMMES
MORICHON ANAÏS,2,40,ELITE ET U23 FEMMES
DEVIGNE CAMILLE,3,40,ELITE ET U23 FEMMES
VIDON AMANDINE,4,40,ELITE ET U23 FEMMES
