# Course FFC: quelneuc2
# Saison: cx-25-26
# Nombre total de résultats: 333
coureur,position,nb_participants,categorie
SPARFEL AUBIN,1,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
LELANDAIS RÉMI,2,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
BETON DAMIEN,3,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
VERRIER TRISTAN,4,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
JOT MATÉO,5,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
NAVARRO QUENTIN,6,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
RECULEAU NICOLAS,7,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
GABRIEL TIMOTHÉ,8,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
REMONDET VALENTIN,9,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
JEANNESSON ARNOLD,10,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
MORICHON MATHIEU,11,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
GAILLARD FLORIAN,12,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
JUTEL PAUL FRANÇOIS,13,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
ANANIE UGO,14,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
GILLES CYPRIEN,15,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
DUBAU LUCAS,16,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
SPARFEL LOUIS,17,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
MULON HUGO,18,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
LEPOITTEVIN DUBOST JORIS,19,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
LEMARDELE MAXENCE,20,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
DELPRAT STEVEN,21,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
VASNIER DYLAN,22,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
JOT HUGO,23,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
LAUGER YVONNICK,24,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
LAVIGNAC MATTHIEU,25,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
LACHAIZE ANTOINE,26,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
RENARD LUDOVIC,27,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
GOURGOUILHON MAXIME,28,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
PRUDENTINO JEAN PIERRE,29,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
GIRARDIN MAXIME,30,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
BONENFANT NICOLAS,31,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
OTTIGER AXEL,32,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
DREANO VICTOR,33,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
JELSPERGER MATHIEU,34,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
VASSAL THIBAUT,35,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
PLAUCHE ROMARIC,36,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
GUERET THÉO,37,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
OLLIVIER GURVAN,38,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
HYON FRANÇOIS,39,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
FARNIER JULIEN,40,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
MORGANTI LOUCA,41,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
SERIEYS BERTRAND,42,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
LOISEAU PAUL,43,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
BABIN GREGOIRE,44,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
BOSCHER JORIS,45,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
TABURET MATHIEU,46,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
GUILLEMET AXEL,47,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
LE FUR DYLAN,48,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
TEXIER LUKA,49,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
COSTE NICOLAS,50,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
BARRIER NICOLAS,51,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
BERNIER EMILIEN,52,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
AUSTIN ELIOTT,53,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
CADEAU FLORENTIN,54,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
BONNIN FLORIAN,55,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
ALMANSA CLÉMENT,56,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
QUEFFURUS PIERRICK,57,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
ROGIER VINCENT,58,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
KAKIZAKI EUGÈNE,59,59,Classement général individuel (épreuve de 1 jour) : ELITE HOMMES
FOUQUENET AMANDINE,1,40,ELITE ET U23 FEMMES
MULLER AMANDINE,2,40,ELITE ET U23 FEMMES
MORICHON ANAÏS,3,40,ELITE ET U23 FEMMES
VIDON AMANDINE,4,40,ELITE ET U23 FEMMES
MOULIN ANAÏS,5,40,ELITE ET U23 FEMMES
VALADE ALEXANDRA,6,40,ELITE ET U23 FEMMES
DESPREZ LISON,7,40,ELITE ET U23 FEMMES
DEVIGNE CAMILLE,8,40,ELITE ET U23 FEMMES
GARNIER NOEMIE,9,40,ELITE ET U23 FEMMES
PORLIER R.,10,40,ELITE ET U23 FEMMES
WEINGARTEN AUDREY,11,40,ELITE ET U23 FEMMES
HURTELOUP ADÈLE,12,40,ELITE ET U23 FEMMES
KLAES LISE,13,40,ELITE ET U23 FEMMES
CORABOEUF LEA,14,40,ELITE ET U23 FEMMES
ROGER HUGOLINE,15,40,ELITE ET U23 FEMMES
MOISSONNIER MARIE,16,40,ELITE ET U23 FEMMES
BONNIN NOEMIE,17,40,ELITE ET U23 FEMMES
TRITZ MATHILDE,18,40,ELITE ET U23 FEMMES
RIGAUX ALIZEE,19,40,ELITE ET U23 FEMMES
ADAM LUCIE,20,40,ELITE ET U23 FEMMES
LAVENS JOHANNA,21,40,ELITE ET U23 FEMMES
LISABOIS LOLA,22,40,ELITE ET U23 FEMMES
YANNIC TIFENN,23,40,ELITE ET U23 FEMMES
JOUAULT AMBRE,24,40,ELITE ET U23 FEMMES
LANDRIN ZEBERT FLAVIE,25,40,ELITE ET U23 FEMMES
MORICEAU CLARISSE,26,40,ELITE ET U23 FEMMES
LE BRAS JUSTINE,27,40,ELITE ET U23 FEMMES
TOUFFET ELODIE,28,40,ELITE ET U23 FEMMES
CHESNEAU ROMANE,29,40,ELITE ET U23 FEMMES
REYNIER ROMANE,30,40,ELITE ET U23 FEMMES
REHM CORALIE,31,40,ELITE ET U23 FEMMES
FROUARD DIANE,32,40,ELITE ET U23 FEMMES
BRAMOULLE PAULINE,33,40,ELITE ET U23 FEMMES
POTTIER CAMILLE,34,40,ELITE ET U23 FEMMES
LIBOREAU MANON,35,40,ELITE ET U23 FEMMES
LECOQ ALIZEA,36,40,ELITE ET U23 FEMMES
BERGHEAUD MAËLYS,37,40,ELITE ET U23 FEMMES
GAFFE CASSANDRA,38,40,ELITE ET U23 FEMMES
LE COUEDIC HENIN NOEMIE,39,40,ELITE ET U23 FEMMES
BRAMOULLE MANON,40,40,ELITE ET U23 FEMMES
DEBORD ROMAIN,1,79,U23 HOMMES
DAVID ALEXIS,2,79,U23 HOMMES
COURCIER THOMAS,3,79,U23 HOMMES
SIMON JULES,4,79,U23 HOMMES
VASSAL THÉOPHILE,5,79,U23 HOMMES
ROMAIN EMILIEN,6,79,U23 HOMMES
LEQUET CORENTIN,7,79,U23 HOMMES
TANGUY LOUIS,8,79,U23 HOMMES
VIVOT ALEXIS,9,79,U23 HOMMES
DUBOSQ GABIN,10,79,U23 HOMMES
DOS REIS GRACA NATHAN,11,79,U23 HOMMES
PAPIN NATHAN,12,79,U23 HOMMES
MASSET KERRIAN,13,79,U23 HOMMES
VILLAR THIERY AUBIN,14,79,U23 HOMMES
FERY FLORIAN,15,79,U23 HOMMES
LOETE HIPPOLYTE,16,79,U23 HOMMES
DU MOUZA QUENTIN,17,79,U23 HOMMES
MENISSIER CLÉMENT,18,79,U23 HOMMES
GARNIER MATTEO,19,79,U23 HOMMES
DUPUY JOAN,20,79,U23 HOMMES
RUESCHE SOAN,21,79,U23 HOMMES
FAUVEL RONAN,22,79,U23 HOMMES
JULLIAN EVAN,23,79,U23 HOMMES
LEFEVRE CLÉMENT,24,79,U23 HOMMES
VERGER AMAURY,25,79,U23 HOMMES
HERPIN SOHAN,26,79,U23 HOMMES
GOURGIN ESTEBAN,27,79,U23 HOMMES
CARRERE BAPTISTE,28,79,U23 HOMMES
CORMERAIS MAXIME,29,79,U23 HOMMES
GUILLAUME GAËL,30,79,U23 HOMMES
NICOLET FLAVIEN,31,79,U23 HOMMES
GAUTHIER GABIN,32,79,U23 HOMMES
HUBY THOMAS,33,79,U23 HOMMES
LEVILLAIN MARTIN,34,79,U23 HOMMES
TROUILLARD ARMAND,35,79,U23 HOMMES
LE GOFF HUGO,36,79,U23 HOMMES
POULY QUENTIN,37,79,U23 HOMMES
DEHAEMERS ALOÏS,38,79,U23 HOMMES
CANOLLE THÉO,39,79,U23 HOMMES
SAUZET JULES,40,79,U23 HOMMES
CACAULT MATTEÏ,41,79,U23 HOMMES
THATCHER EDOUARD,42,79,U23 HOMMES
CHARRIER KYLIAN,43,79,U23 HOMMES
MICHELET NATHAN,44,79,U23 HOMMES
REGNAULT THIBAULT,45,79,U23 HOMMES
BOUCHEREZ ROMAIN,46,79,U23 HOMMES
GUILLET YANIS,47,79,U23 HOMMES
GUILMET RAPHAEL,48,79,U23 HOMMES
HENRION THOMAS,49,79,U23 HOMMES
BAGUET ELIOT,50,79,U23 HOMMES
GUERILLON ENZO,51,79,U23 HOMMES
DOUGNY LUCAS,52,79,U23 HOMMES
GANTOIS TIMEO,53,79,U23 HOMMES
MILLAT WILLIAM,54,79,U23 HOMMES
TARBOURIECH MATHIS,55,79,U23 HOMMES
DELPRAT LÉO,56,79,U23 HOMMES
APPLENCOURT RYAN,57,79,U23 HOMMES
VINSON AURÉLIEN,58,79,U23 HOMMES
CHAMPION CORENTIN,59,79,U23 HOMMES
RENAUD ALEXIS,60,79,U23 HOMMES
LERAT BRAYAN,61,79,U23 HOMMES
FOUQUET AUDRIC,62,79,U23 HOMMES
CHAUDERLOT PHULPIN TOM,63,79,U23 HOMMES
LEMAITRE ANDY,64,79,U23 HOMMES
CERFEUILLET L.,65,79,U23 HOMMES
LAHAYE NATHAN,66,79,U23 HOMMES
LADAME ALEXIS,67,79,U23 HOMMES
AMET BASILE,68,79,U23 HOMMES
DESILLES ALIX,69,79,U23 HOMMES
PEDERIVA PAUL,70,79,U23 HOMMES
MARTIN NAHEL,71,79,U23 HOMMES
FRICHET GABIN,72,79,U23 HOMMES
BALEINE KYRIO,73,79,U23 HOMMES
FEBREAU HUGO,74,79,U23 HOMMES
CHARLES LILIAN,75,79,U23 HOMMES
DOLLE GABRIEL,76,79,U23 HOMMES
REGOST THIBAUT,77,79,U23 HOMMES
RAJALU MARIUS,78,79,U23 HOMMES
PRAT MATÉO,79,79,U23 HOMMES
BRUYERE JOUMARD SOREN,1,121,U19 HOMMES
DEVOS VICTOR,2,121,U19 HOMMES
CLEMENTE ANTOINE,3,121,U19 HOMMES
LE BOURHIS PIERRE,4,121,U19 HOMMES
FAHY AUGUSTIN,5,121,U19 HOMMES
CHAINEL CALISTE,6,121,U19 HOMMES
MARTINEAU AXEL,7,121,U19 HOMMES
SUIRE MALO,8,121,U19 HOMMES
MORINIERE LILIAN,9,121,U19 HOMMES
GOUX PAUL,10,121,U19 HOMMES
VERRIER LEO,11,121,U19 HOMMES
NOEL M.,12,121,U19 HOMMES
BOULLE LORIS,13,121,U19 HOMMES
BOUYSSOU CLÉMENT,14,121,U19 HOMMES
BULTEAU LUCAS,15,121,U19 HOMMES
BABIN GABRIEL,16,121,U19 HOMMES
INGELAERE ANTOINE,17,121,U19 HOMMES
DESTOUCHES TOM,18,121,U19 HOMMES
REGOST LOUIS,19,121,U19 HOMMES
FERRON TIMOTE,20,121,U19 HOMMES
BRUTIN ALBAN,21,121,U19 HOMMES
ANTOINE LOUIS,22,121,U19 HOMMES
GAILLARD EWEN,23,121,U19 HOMMES
BAUDOUIN FLORIAN,24,121,U19 HOMMES
RAEKELBOOM NOÉ,25,121,U19 HOMMES
BELLIER ADAM,26,121,U19 HOMMES
BOVO BIANTO KYLIAN,27,121,U19 HOMMES
DURAND LOUIS,28,121,U19 HOMMES
GOBILLOT AXEL,29,121,U19 HOMMES
DEBENNE MATIS,30,121,U19 HOMMES
DETRE MAXENCE,31,121,U19 HOMMES
LANDRIN ZEBERT JULES,32,121,U19 HOMMES
THOUREAU LUCAS,33,121,U19 HOMMES
DELANGHE FLYNN,34,121,U19 HOMMES
ORTEGA MARTIN THIBAULT,35,121,U19 HOMMES
COCHO JULIEN,36,121,U19 HOMMES
COLOTTE NYS ANTOINE,37,121,U19 HOMMES
LOUISON TIMÉO,38,121,U19 HOMMES
BILLET SIMON,39,121,U19 HOMMES
MARCHAND JULES,40,121,U19 HOMMES
MARCHAND ANTONIN,41,121,U19 HOMMES
VINCENT ELOUAN,42,121,U19 HOMMES
DUGAY CHARLIE,43,121,U19 HOMMES
CHESNEL THOMAS,44,121,U19 HOMMES
GROLLET NAËL,45,121,U19 HOMMES
COUGOULAT LE STUNFF NOÉ,46,121,U19 HOMMES
LOIRE HORACIO,47,121,U19 HOMMES
COUTIN VICTOR,48,121,U19 HOMMES
RAFFO JOSEPH,49,121,U19 HOMMES
CHEVALIER BAILLOU PIERRE,50,121,U19 HOMMES
CHEMILLÉ NATHAN,51,121,U19 HOMMES
LE PALLEC MATHIS,52,121,U19 HOMMES
COURRIERE SAMY,53,121,U19 HOMMES
VANAELST BATISTE,54,121,U19 HOMMES
SPARFEL BATISTE,55,121,U19 HOMMES
VAZE PIERRICK,56,121,U19 HOMMES
TARDIEU CLÉMENT,57,121,U19 HOMMES
THATCHER HENRI,58,121,U19 HOMMES
GENTY MAHE,59,121,U19 HOMMES
COURCIER MAEL,60,121,U19 HOMMES
GRONDIN BAPTISTE,61,121,U19 HOMMES
JESTIN NOLAN,62,121,U19 HOMMES
NICOLAS TYLANN,63,121,U19 HOMMES
DELAHAIS LUCAS,64,121,U19 HOMMES
LE FOLL TEO,65,121,U19 HOMMES
GILBERT ANTOINE,66,121,U19 HOMMES
BESNARD ANTOINE,67,121,U19 HOMMES
GENAZZINI SAM,68,121,U19 HOMMES
SAUZEAU YANN,69,121,U19 HOMMES
GENTER GABRIEL,70,121,U19 HOMMES
GILLET UGO,71,121,U19 HOMMES
COURNEDE SACHA,72,121,U19 HOMMES
DEDON JULIAN,73,121,U19 HOMMES
LESCANE WILLIAM,74,121,U19 HOMMES
BORRUTO LÉO,75,121,U19 HOMMES
MAILLARD ELIOTT,76,121,U19 HOMMES
AVELINE LILIAN,77,121,U19 HOMMES
OBERLE ETIENNE,78,121,U19 HOMMES
PASQUET MATT,79,121,U19 HOMMES
MONCASSIN MATEO,80,121,U19 HOMMES
GUILMET AMAURY,81,121,U19 HOMMES
BRUNE MAEL,82,121,U19 HOMMES
TRUCHOT LANCELOT,83,121,U19 HOMMES
MARY TIMOTHÉ,84,121,U19 HOMMES
BARRIER PAIVA TIAGO,85,121,U19 HOMMES
GOBARD LOUIS,86,121,U19 HOMMES
ROUANET LIAM,87,121,U19 HOMMES
BOISIVON ANAËL,88,121,U19 HOMMES
RIQUEMENT CLÉMENT,89,121,U19 HOMMES
BROTIN HUGO,90,121,U19 HOMMES
PERROT MATHÉO,91,121,U19 HOMMES
SIMON MATHIS,92,121,U19 HOMMES
DHONDT CLOVIS,93,121,U19 HOMMES
LEMOUTON NOA,94,121,U19 HOMMES
THEILLOMAS MATHIS,95,121,U19 HOMMES
JOUBARD MAXIME,96,121,U19 HOMMES
BONNEAU YLLAN,97,121,U19 HOMMES
GILBERT ETHAN,98,121,U19 HOMMES
BARRANGER VINET SACHA,99,121,U19 HOMMES
GASCHET JULES,100,121,U19 HOMMES
BOUDIER BAPTISTE,101,121,U19 HOMMES
LE CLINCHE LILIAN,102,121,U19 HOMMES
DUC CHARLES,103,121,U19 HOMMES
PILON MARIUS,104,121,U19 HOMMES
MORGANTI DYLAN,105,121,U19 HOMMES
DUCLAUT JULIAN,106,121,U19 HOMMES
BORNERT ETHAN,107,121,U19 HOMMES
LUTTIAU NOE,108,121,U19 HOMMES
TESSIER CLÉMENT,109,121,U19 HOMMES
BESNARD AURELE,110,121,U19 HOMMES
DAVEAU ADRIEN,111,121,U19 HOMMES
CHABOT MAXENCE,112,121,U19 HOMMES
CROZIER LOÏS,113,121,U19 HOMMES
COUTABLE CELESTIN,114,121,U19 HOMMES
ANDRIEUX NINO,115,121,U19 HOMMES
HERGUE ENZO,116,121,U19 HOMMES
BOURDOU ETHAN,117,121,U19 HOMMES
POUGET MILO,118,121,U19 HOMMES
THEAU PACOME,119,121,U19 HOMMES
BEIGNEUX LOÏS,120,121,U19 HOMMES
BEDON JULES,121,121,U19 HOMMES
REVOL LISE,1,34,U19 FEMMES
PICHON LALY,2,34,U19 FEMMES
LAMBERT ZÉLIE,3,34,U19 FEMMES
BASSET CAMILLE,4,34,U19 FEMMES
ELIZALDE LUCIE,5,34,U19 FEMMES
LEBRETON ELOANE,6,34,U19 FEMMES
JURADO ROUMIEUX NOÉMIE,7,34,U19 FEMMES
BAUD JUSTINE,8,34,U19 FEMMES
VILLAR THIERY FAUSTINE,9,34,U19 FEMMES
VAXILLAIRE NOLWENN,10,34,U19 FEMMES
MARTINET ANAÏS,11,34,U19 FEMMES
BOURDON LENA,12,34,U19 FEMMES
DOLLE ELISA,13,34,U19 FEMMES
ROSCOE HEIDI,14,34,U19 FEMMES
SERMONET JADE,15,34,U19 FEMMES
BUNEA FLAVIA,16,34,U19 FEMMES
DUCHEMIN ELISA,17,34,U19 FEMMES
MARTINET NOÉMIE,18,34,U19 FEMMES
BLANCHET ANNA,19,34,U19 FEMMES
OMPRARET JUSTINE,20,34,U19 FEMMES
AUVRAY JADE,21,34,U19 FEMMES
PATTINSON ISLA,22,34,U19 FEMMES
LE CAVIL KENZA,23,34,U19 FEMMES
CONANEC INES,24,34,U19 FEMMES
SPARFEL ANAËLLE,25,34,U19 FEMMES
DEWAELE NIKKI,26,34,U19 FEMMES
HENRION CLAIRE,27,34,U19 FEMMES
DELAFOSSE NOËMIE,28,34,U19 FEMMES
GRAY IRIS,29,34,U19 FEMMES
PRINET LOU ANNE,30,34,U19 FEMMES
KERLOC'H DAGORN ERELL,31,34,U19 FEMMES
PERESSE MANON,32,34,U19 FEMMES
MICHEL AGATHE,33,34,U19 FEMMES
CURY MAELYNE,34,34,U19 FEMMES
